a&e,architecture and engineering
a&p,airframe and powerplant
a/a,air to air
a/c,approach control
a/fd,airport/facilites directory
a/g,air to ground
a/h,altitude/height
a/l,autoland
a/s,airspeed
aaa,airport airspace analysis
aab,aircraft accident briefing
aad,assigned altitude deviation
aaf-1,director of airway facilities
aag,alaska aviation guidance
aai,faa office of accident investigation
aaitvl,arrival aircraft interval
aal,above aerodrome level
aam,advance air mobilty
aams,aircraft arrival management system
aap,advanced automation program
aar,aircraft accident report
aas,airport advisory service
aasr,aging aircraft safety rule
aatm,at all times
aaup,attention all users page
aawf,auxiliary aviation weather facility
aawta,advise at what time able
abdis,automated data interchange system service
abi,advance boundary information
ablchg,airborne launching
acais,air carrier activity information system
acars,aircraft communication addressing and reporting system
acas,airborne collision avoidance system
acdnt,accident
acdo,air carrier district office
acft,aircraft
acrbt, acrobatic
acs ,audio control system
acsep,aircraft certification systems evaluation program
acw,aircraft control and warning
ad ,airworthiness directive
adahrs ,air data and attitude heading reference system
adc ,"air data computer, or analog-to-digital converter"
adf,automatic direction finder
adfap,automatic direction finder approach
adi ,attitude director indicator
adirs ,air data inertial reference system
adiru ,air data inertial reference unit
adm ,air data module
adr ,airborne data reception
ads ,automatic dependent surveillance
ads-a ,automatic dependent surveillance-address
ads-b ,automatic dependent surveillance-broadcast
ads-c ,automatic dependent surveillance-contract
adsu,automatic dependent surveillance unit
adsy,administrative equipment systems
adtn,administrative data transmission network
advalt,allotment advice
advc,advice
advctn,advection
advn,advance
advo,administrative voice
adw,air defense warning
adz,advise
adzar,advise arrival
adzi,advise intentions
adzof,advise this office
adzy,advisory
aea,aircraft electronics association
aed,automated external defibrillator
aedt,aviation environmental design tool
aee,faa office of environment and energy
aeec,airlines electronic engineering committee
aeg,aircraft evaluation group
aeh ,airborne electronic hardware
aeng,airways engineer
aeo,all engines operating
aep,faa office of aviation policy planning and environment
aer,approach end runway
aera,automated en-route air traffic control
aero,aeronautical
aes,aircraft earth station
aesa ,active electronically scanned array
aeu,europe
aevac,air evacuation
aew,airborne early warning
aex,automated execution
afcs ,automatic flight control system
afd ,autopilot flight director
afdc ,autopilot flight director computer
afds ,autopilot flight director system
afdx ,avionics full-duplex switched ethernet
afil,filed flight plan in the air
afio,authorization for interceptor operations
afirm,affirmative
afis,aerodrome flight information service
afj,air force jet
afm,airplane flight manual
afms,airplane flight manual supplement
afnea,air force notam exchange area
afneo,air force notam exchange office
afo,airport field office
afovrn,air force overrun
afrep,air force representative
afres,air force reserve station
afrt,air freight
afsfo,afs field office
afsfu,afs field unit
afss,automated flight service station
afti,advanced fighter technology integration
aftil,airway facilities tower integration laboratory
aftn,automated fixed telecommunications network
afvg,anglo-french variable geometry
afz,resource management
aga,aerodromes and ground aids
agacs,automatic ground air/ground communication system
agacs ,automatic ground
agard,advisory group for aerospace and development
agb,accessory gear box
agc,faa office of the chief counsel
agdl ,air-ground data link
agl,above ground level
agm,air-to-ground missile
agn,again
agrmt,agreement
ags,automatic gain stabilization
ahc ,attitude heading control
ahd,ahead
ahr,faa office of human resources
ahrs,attitude and heading reference system
ahrs ,attitude heading reference system
aiaa,american institute of aeronautics and astronautics
aiag,automotive industry action group
aiatsc,all international air traffic switching centers
aic,aeronautical information circular
aics,aircraft inventory and charter system
aid,airport information desk
aidc,air traffic services inter-facility data communication
aids,airborne integrated data system
aids ,aircraft integrated data
aifp,activate ifr flight plan
aifss,automated international flight service
ails,automatic instrument landing system
aim ,aeronautical information manual
aip,aeronautical information publication
air ,aerospace information report
airac,aeronautical information regulation and control
aircomnet,air force communications network
airep,air report
airfl,air refueling
airmet,airmenâ€™s meteorological information
airnav,airports and navigation aids database system
airnet,airport network simulation model
airopnet,air operations network
airpac,advisor for the intelligent resolution of predicted aircraft
ais,aeronautical information service
ais ,airmen’s information system
al ,assurance level
alarp,as low as reasonably possible
als,approach light system
alt,altitude
altmoc,alternative means of complianceamo approved maintenance organisation 
amc,acceptable method of compliance
amdt,amendment
ame,aviation medical examiner
amed,advanced mechanical engine demonstrator
amp,aircraft maintenance programme 
amt,aviation maintenance technician
aoa,angles of attack
aoc,air operator certificate 
apnt,appoint
app,approach
apu,auxiliary power unit
arc,airworthiness review certificate 
arff,aircraft rescue and firefighting
arinc,aeronautical radio incorporated
arip,air refueling initial point
ars,airworthiness review staff 
asde,airport surface detection equipment
ash,security and hazardous materials safety
asi,airspeed indicator
asl,aerospace system level
asme,american society of mechanical engineers
asos,automated surface observing system
asqc,american society for quality control
asr,airport surveillance radar
asrs,aviation safety report system
assc,airport surface surveillance capability
ast,commercial space transportation
astc,amended supplemental type certificate
ata,airline transport association
atc,air traffic control
atct,air traffic control tower
atis,automatic terminal information system
atnd,attend
ato,air traffic organization
atp,airline transport pilot
atpl,airline transport pilot license
aus,austin-bergstrom international airport
auto,automatic
avbl,available
avgas,aviation gasoline
avp,office of accident investigation and prevention
avs,aviation safety
avs-1,associate administrator for aviation safety
awl,all weather landing
aws,air weather service
azm,azimuth
bfr,binomial failure rate
caa,civil aviation authority
cad,computer-aided design
cai,computer aided inspection
cair,confidential aviation incident reporting
cam,computer aided manufacturing
came,continuing airworthines management exposition 
camo,continuing airworthiness management organisation 
camp,continuous airworthiness maintenance program
cas,calibrated air speed
casa,australian civil aviation safety authority
cat,clear air turbulence
cavok,ceiling visibility clear
cca,common cause analysis
ccbe,common cause basic event
ccd,cause consequence diagram
ccf,common cause failure
ccfa,common cause failure analysis
ccl,compliance checklist
cdhat,conceptual design hazard analysis type
cdl,configuration deviation list
cdr,critical design review
ceh ,complex electronic hardware
cfd,computational fluid dynamics
cfit ,controlled flight into terrain
cfma,cable failure matrix analysis
cfr,code of federal regulations
cg,center of gravity
chdo,Flight Standards certificate holding district office
chime ,acoustic warning
chirp,confidential human factors incident reporting programme
ci ,configuration item
cids ,cabin intercommunication data system
cil,critical item list
cip,conformity inspection plan
cm,configuration management
cma ,common mode analysis
cmf,common mode failure
cmm,component maintenance manual
cmo,certificate management office
cmp,configuration maintenance and procedures
cmp ,configuration management plan
cmpa,complex motor-powered aircraft 
cmr,certification maintenance requirements
cmr ,certification maintenance requirement
cns ,"communication, navigation, surveillance"
codec ,coder/decoder
comm ,communications receiver
consol,low or medium frequency long range navigational aid
cos,continued operational safety
cots,commercial off the shelf
cots ,commercial off-the-shelf
cpap,continuous positive airway pressure
cpdlc ,controller
cpg,certification process guide
cpl,commercial parts list
cpn,certification project notification
cps ,cycles per second
cpu,central processing unit
crc ,cyclic redundancy check or cyclic redundancy code
crm,cockpit resource management
crs,certificate of release to service 
crt ,cathode ray tube
cs ,certification specification
cs&r,"codes, standards, and regulations"
csci,computer software configuration item
csr,certification summary report
csu,computer software unit
ctaf ,common traffic advisory frequency
cv/dfdr ,cockpit voice and digital flight data recorder
cve ,certification verification engineer
cvr,cockpit voice recorder
cws ,control wheel steering
cya ,conform your aircraft 
da ,decision altitude
dah,design approval holder
dal ,development (or design) assurance level
daps ,downlink of aircraft parameters
dar,designated airworthiness representative
dc ,direct current or decision coverage
dcdu ,data link control and display unit
dcn ,document change notice
dcp ,display control panel
dd ,dependence diagram
dd-hat,detailed design hazard analysis type
dds ,display docking station
der,designated engineering representative
des,descent
dest,destination
dfmc ,dual frequency multiple constellation
dft,dynamic fault tree
dg ,directional gyroscope
dgac,directorate generale of civil aviation
dgps ,differential global positioning system
dh ,decision height
dl ,data link
dlr ,data link recorder
dme,distance measuring equipment
dmir,designated manufacturing inspection representative
dnc ,direct noise canceling
do ,rtca document (“document order”)
doa,design organisation approval 
dod,department of defense
dp ,departure procedures
dsp ,digital signal processor
duat ,direct user access terminal
dve ,degraded visual environment
eadi ,electronic attitude director indicator
easa,european union aviation safety agency
easa ,european aviation safety agency
ecfr,electronic code federal regulations
ecn ,engineering change notice
ecs,environmental control system
ecu ,engine control unit (=eec)
eec,eurocontrol experimental center
eec ,electronic engine control
eeg,evidence event gate
eeprom ,electrically erasable programmable read only memory
efb ,electronic flight bag
efd ,electronic flight display
efis ,electronic flight information system
efvs,enhanced flight vision system
egpws ,enhanced ground proximity warning system
egt ,exhaust gas temperature
ehs ,enhanced surveillance
ehsi ,electronic horizontal situation indicator
eia ,electronics industry association
eicas ,engine indicating and crew alerting system
elos,equivalent level of safety
elt ,emergency locator transmitter
emi,electromagnetic interference
emr,electromagnetic radiation
ems,emergency medical services
ems ,emergency medical service
enc ,electronic noise canceling
eng ,engine
enr ,electronic noise reduction
eoc ,executable object code
eod,explosives ordnance disposal
epr ,engine pressure ratio
eprom ,erasable programmable read-only memory
esf,equivalent safety finding
est,eastern standard time
eta,estimated time of arrival
etba,energy trace and barrier analysis
etd,event tree diagram
etop(s) ,extended-range twin-engine operation(s)
etops,extended operations
etso ,european technical standard order
eurocae,european organization for civil aviation equipment
evtol,electrical vertical takeoff and landing
ewis,electrical wiring interconnection systems
faa,federal aviation administration
fadec ,full authority digital engine control
faha,fault hazard analysis
fai ,first article inspection
fans ,future air navigation system
far ,federal aviation regulation
fbd,functional block diagram
fbw ,fly-by-wire
fc ,failure condition
fcaa,foreign civil airworthiness authority
fcc ,flight control computer
fcom,flight crew operations manual
fcr ,final certification review
fcs ,flight control system
fd ,flight director
fdal ,function development assurance level
fde ,fault detection and exclusion
fdep,functional dependency
fdps ,flight plan data processing system
fdr,flight data recorder
fdrs ,flight data recorder system
fdu ,flux detector unit
fedex,federal express corporation
ff ,fuel flow
ffd,functional flow diagram
ffr ,first flight review
ffs,full flight simulator
ffs ,functional failure set
fg ,flight guidance
fha,functional hazard assessment
fic ,flight information centre
fifo,"“first in, first out”"
fis ,flight information service
fis-b ,flight information services
fl ,flight level
flir ,forward-looking infra-red
flta ,forward looking terrain awareness
fm ,formal methods
fma ,flight mode annunciator
fmea,failure mode and effect analysis
fmea ,failure mode & effects analysis
fmeca,failure mode and effect criticality analysis
fmes,failure modes and effects summary
fmes ,failure modes and effect summary
fmgs ,flight management & guidance system
fmri,final mishap risk index
fms,flight management system
fob ,fuel on-board
foeb,flight operations evaluation board
foqa,flight operations quality assurance
fpe ,floating point emulation
fpga ,field programmable gate array
fqi,fuel quantity indicator
freq ,frequency
fsb,flight standardization board
fsdo,flight standards district office
fss ,flight service station
fstd,flight simulation training device
fta,fault tree analysis
ftd,flight training device
fuha,functional hazard analysis
fws ,flight warning system
fyds ,flight director/ yaw damper system
g/s ,glide slope
ga ,go around
gast ,gbas approach service type
gbas ,ground based augmentation system
gcas ,ground collision avoidance system
gcu ,generator control unit
gdop ,geometric dilution of precision
ggs ,global positioning system ground station
gha,gross hazard analysis
ghz ,gigahertz
glns ,gps landing and navigation system
glnu ,gps landing and navigation unit
glonass ,global navigation satellite system
gls ,gnss landing system
glu ,gps landing unit
gmt ,greenwich mean time
gnd ,ground
go ,go around
gom,general operations manual
gph,midwest national air center
gpio ,general-purpose i/o
gps ,global positioning system
gpwc ,ground proximity warning computer
gpws ,ground proximity warning system
gs ,ground speed or ground station
haa,height above airport
hal, height above landing
hap, hazard analysis process
har,hazard action record
hars, high altitude route system
has ,hardware accomplishment summary
hat,height above touchdown
haz ,hazard or hazardous
hazop,hazard and operability
hazops,hazard and operability study
hcf,hazard causal factor
hci ,hardware configuration index
hcm,hazard control method
hcm ,hardware configuration management
hcmp ,hardware configuration management plan
hcr,hazard control record
hdg,heading
hdl ,hardware design language
hdop ,horizontal dilution of precision
hdp ,hardware development plan
hems,helicopter emergency medical services
hf,human factors
hf ,high frequency
hfacs,human factor analysis and classification sytems
hfm,human factors and medicine
hha,health hazard assessment
hhld ,heading hold
hirf ,high intensity infrared fields 
hirl,high-intensity runway light system
hirmt,hazard identification risk management and tracking
hmd ,helmet-mounted display
hmi ,human machine interface
hol ,high-order language
hou,william p. hobby airport
hpa,hecto pascal
hpap ,hardware process assurance plan
hpc,high pressure compressor
hpr ,high pressure rotor
hsd ,high-speed data
hsi,human system integration
hsl ,heading select
htaws ,helicopter terrain awareness and warning system
hts,hazard tracking system
hud ,head-up display
hums ,health and usage monitoring systems
hvvp ,hardware validation & verification plan
hw or h/w ,hardware
hwci,hardware configuration item
hz,hertz
i/o ,input/output
iaqg,international aerospace quality group
ias,indicated air speed
ias ,indicated airspeed
iata,international air transportation association
ica,instructions for continued airworthiness
icao,international civil aviation organization
icd ,interface control document
ice ,in-circuit emulator
id ,identify/identification or identifier
idal ,item development assurance level
ide ,integrated development environment
ident ,identify/identifier
ids ,information display system or integrated display system
ife ,in-flight entertainment
iff,indentify friend or foe
iff ,identification friend or foe
ifics ,integrated flight instrument and control system
ifr,instrument flight rules
ifsd,in-flight shutdown
ils,instrument landing system
ima ,integrated modular avionics
imc,instrument meteorological conditions
imri,inital mishap risk index
ind ,indicator
inel, idaho national engineering laboratory
ins ,inertial navigation system
ioc ,initial operational capability
ip ,internet protocol or intellectual property
ipc,illustrated parts catalog
ipt,integrated product team
ipv ,instrument procedure with vertical guidance (renamed to apv)
irs ,inertial reference system or interface requirements specification
isa ,international standard atmosphere
isis ,integrated standby instrument system
iso,international standard organization
isp ,integrated switching panel
isr ,interrupt service routine
itl,indentured task list
itt ,interstage turbine temperature
ivhm,integrated vehicle health monitoring
ivsi ,instantaneous vertical speed indicator
jaa,joint aviation authority
jaa ,joint aviation authorities
jsa,job safety analysis
jtag ,joint test action group
jtids ,joint tactical information distribution system
kb ,kilobyte
kias ,knots indicated airspeed
kt ,knot - nautical mile per hour
ktas ,knots true airspeed
kts,knots
laas ,local area augmentation system
ladgps ,local area differential gps
lars ,lightweight aircraft recording system
lcd ,liquid crystal display
lda,localizer-type directional aid
ldgps ,local area differential global positioning satellite
led ,light-emitting diode
lfr,low-frequency radio range
lmm ,locator middle marker
loa ,letter of agreement/letter of authorization
loc ,localizer
loda ,letter of design approval
loi ,level of involvement
lom ,locator outer marker
loran ,long-range navigation
lpr ,low pressure rotor
lpv ,localizer performance with vertical guidance
lru,line replaceable units
lru ,line replaceable unit
lsp ,liskov substitution principle
lte ,loss of tail rotor effectivenesshelicopters
ma ,markov analysis
mals,medium intensity approach light system
malsr,medium intensity approach light system with runway alignment indicator lights
map ,manifold absolute pressureor missed approach point
maps ,minimum aviation performance standards
masps ,minimum aviation system performance standard
mb ,megabyte
mbd ,model-based development
mc/dc ,modified condition/decision coverage
mca,minimum crossing altitude
mcbf ,mean cycles between failures
mcdu ,multi-purpose/multi-function control and display unit
mcp ,"multi-core processor, or multi-core processing"
mcs,minimal cut set
mda,minimum descent altitude
mda ,minimum decent altitude
mea,minimum en route ifr altitude
meda,maintenance error decision aid
mel,minimum equipment list
mem,memphis international airport
metar,aviation routine weather report
mf ,medium frequency
mfcu,mean fuel control unit
mfd ,multi-function display
mfds ,multi-function display system
mgl,multiple greek letter
mhz,mega hertz
mic ,microphone
mido,manufacturing inspection district office
mids ,multifunctional information distribution system
milspec ,military specification
min,minute
mkp ,multi-function keypad
mkr ,marker beacon
mlg,main landing gear
mls, mean sea level
mls ,microwave landing system
mm,middle marker
mmd ,moving map display
mmel,master minimum equipment list
mnps ,minimum navigation performance specifications
moa,memorandum of agreement
moa ,military operations area
mob,multiple occurring branch
moc,means of compliance
moca,minimum obstruction clearance altitude
mocus,method of obtaining cut sets
mode a ,transponderpulse-code reporting
mode c ,transponder code and altitude reporting
mode s ,"transponder code, altitude, andtcasreporting"
moe,multiple occurring event
mops ,minimum operational performance standard
mort,management and oversight risk tree
mosart ,modular open system architecture
mou,memorandum of understanding
mps ,minimum performance standard
msa ,minimum safe altitude
msg ,message
msl,mean sea level
mtbf,mean time between failures
mtom,maximum takeoff mass
naca,national advisory committee for aeronautics
nacip,national automated conformity inspection process
nasa,national aeronautics and space administration
nato,north atlantic treat organisation
ndb,nondirectional beacon
ndi,nondevelopmental item
nlg,nose landing gear
nopac,north pacific area of operation
nopt,no procedure turn required
notam ,notice to air men
nprm,notice of proposed rulemaking
ntsb,national transportation safety board
nvg ,night vision googles
nws,national weather service
o&sha,operating & support hazard analysis
oat ,outside air temperature
obs ,omnibearing selector
occ,operational control center
occ ,operations control center
oda ,organization designation authorization
oei,one engine inoperative
oem,original equipment manufacturer 
oem ,original equipment manufacturer
oha,operating hazard analysis
om ,outer marker
oo ,object oriented
oot ,object oriented technology
ootia ,object oriented technology in aviation
opr ,open problem report
os ,operating system
osd,operational sequence diagrams
osha,occupational safety and health administration
owe/oew ,operating weight empty/operating empty weight
pa ,process assurance
pacots,pacific organized track system
pah,production approval holder
pal ,pilot activated lighting
papi ,precision approach path indicator
par ,precision approach radar
pasa ,preliminary aircraft safety assessment
pax,passenger
pc ,personal computer
pcl ,pilot controlled lighting
pcn ,product change notice
p-code ,gps precision code
pd ,profile descent
pdi ,parameter data items
pdl ,product development leader
pdop ,position dilution of precision
pdr,preliminary design review
pear,people environment actions resources
ped,portable electronic devices
pesa ,passive electronically scanned array
pfd ,primary flight displayor primary flight director
pfde ,predicted fault detection and exclusion
p-fha,preliminary functional hazard assessment
pfs,principal for safety
pha,preliminary hazard analysis
phac ,plan for hardware aspects of certification
phl,preliminary hazard list
phs&t,"packaging, handling, storage, and transportation"
pirep,pilot report
pld ,programmable logic device
pma,parts manufacturer approval
pma ,parts manufacturing approval
pmg ,permanent magnet generator
pna,petri net analysis
pnd ,primary navigation display
pnr ,passive noise reduction
poa ,production organization approval
pof ,phase of flight
poh,pilot operating handbook
poh ,pilot’s operating handbook
pos ,position
pr ,problem report (may also be “cr = change request”)
pra,probabilistic risk assessment
pra ,particular risk analysis
p-rnav ,precision area navigation
psaa ,plan for software aspects of approval
psac ,plan for software aspects of certification
pscp ,project specific certification plan
psp,partnership for safety plan
psr, point of safe return
psr ,primary surveillance radar
pssa,preliminary system safety assessment
pst,pacific standard time
psu ,passenger service unit
ptn ,problem tracking number
ptr ,program trouble report
ptt ,push-to-talk
qa ,quality assurance
qar ,quick access recorder
qm ,quality management
qms,quality management system
qnh,adjust to airport altitude
qnh ,barometric pressure adjusted to sea level
qrh,quick reference handbook
ra ,resolution advisory (tcas)
rad alt ,radio altitude
rai ,radio altimeter indicator
raim ,receiver-autonomous integrity monitoring
ralt ,radarorradio altimeter
ram ,random access memory
rat ,ram air turbine
raw,risk achievement worth
rbd,reliability block diagrams
rca,root cause analysis
rcr ,reverse current relay
rcvr ,receiver
rdmi ,radio distance magnetic indicator
rdp ,radar data processing system
rdr ,radar
rdu ,remote display unite
ref ,reference
reil ,runway end identifier lights
rel ,relative
rev,revision
rf,radio frequency
rfc,request for conformity
rfi,radio frequency interference
rfm,rotorcraft flight manual
rgl,regulatory guidance library
rha,requirements hazard analysis
rhr,residual heat removal
rhsm ,reduced horizontal separation minimal
rj ,regional jet
rlg ,ring laser gyroscope
rly ,relay
rmi ,radio magnetic indicator
rnav,area navigation
rng ,range
rnp ,required navigation performance
roc ,rate of climb
rod ,rate of descent
rom ,read only memory
rov,remote operated vehicle
rpa ,remotely piloted aircraft (unmanned aerial vehicle)
rpm ,revolutions per minute
rpn,risk priority number
rrw, risk reduction worth
rsp ,reversion switch panel
rtca,radio technical commission for aeronautics
rte ,route
rtl ,run time library
rto,research and technology organisation
rtos ,real-time operating system
rvr,runway visual range
rvsm ,reduced vertical separation minimum
rwy,runway
saar ,special aircraft and aircrew requirements
sae ,society of automotive engineers
sar,safety assessment report
sar ,"search and rescue, smart acms recorder"
sarps,standard and recommended practices
sas ,software accomplishment summary
sat ,static air temperature
satcom ,satellite communication
satnav ,satellite navigation
sc ,system control category
sca,sneak circuit analysis
scf,safety critical function
sci ,software configuration index (or “item”)
scm,swiss cheese model
scm ,software configuration management
scmh,supply chain management handbook
scmp ,software configuration management plan
scr ,software conformity review
sd ,secure digital
sdd ,software design description
sdf, software development file
sdf ,simplified directional facility
sd-hat,system design hazard analysis type
sdp,software development plan
sdr,system design review
sdrl ,supplier deliverables
sds ,software design standard
seci ,software lifecycle environment configuration index
selcal ,selective calling
ses ,supplier equipment specification
sha,system hazard analysis
shell,software hardware environment liveware
shri,software hazard risk index
sic,second in command
sid ,standard instrument departure
sigmet,meteorological information on route
siu ,satellite interface unit
sla ,software load application
sloc,source lines of code
sm,safety management
smgcs,surface movement guidance and control system
smicg,safety management international collaborative group
sms,safety management system
sms ,short messaging service
snr ,signal-to-noise ratio
soi ,stage of involvement
sop ,standard operating procedure
soup ,software of unknown pedigree (sometimes used with humor …)
sow,statement of work
spad,signal passed at danger
spf,single-point failure
spp ,safety program plan
spr ,software planning review
sqa ,software quality assurance
sqap ,software quality assurance plan
sqar ,software quality assurance representative
srats ,system requirements allocated to software
srca,safety requirement/criteria analysis
srd ,software requirements data
srm,safety risk management
srmgsa,safety risk management guidance for system acquisitions
srs ,software requirements standards
ssa,system safety analysis
ssa ,system safety assessment
ssca,software sneak circuit analysis
sscv/dr ,solid-state cockpit voice/data recorder
sscvr ,solid-state cockpit voice recorder
ssfdr ,solid-state flight data recorder
ssha,subsystem hazard analysis
ssmp,system safety management plan
ssp,state safety program
sspp,system safety program plan
ssr,system safety requirements
ssr ,system specification review; alternatively: software specification review
sss ,system segment specification
sta ,static timing analysis
stamp,system-theoretic accident model and processes
star ,standard terminal arrival routes
stars ,standard terminal automation replacement system
stc,supplemental type certificate
stca ,short-term conflict alert
stir,supplemental type inspection report
stp,software test plan
stp ,software test protocol
str,software trouble report
sts ,software test specification
sua ,special use airspace
sva ,software validation attestation
svcp ,software verification cases and procedures
svp ,software verification plan
svr ,software verification results
sw or s/w ,software
swceh ,software and complex electronic hardware
swha,software hazard analysis
swps,stall warning and protection system
swsa,software safety assessment
swssp,software system safety program
syrd ,system requirements document
t/r ,thrust reverser or tail rotor
ta ,traffic advisory
tacan ,tactical air navigation system
tach ,tachometer
tad ,terrain awareness display
taf ,terminal area forecast
tas ,true airspeed or tool accomplishment summary
tat ,"true air temperature, or total air temperature"
taws ,terrain awareness and warning system
tbd ,to be defined (or determined; interchangeable)
tbo ,"time before overhaul, or time between overhaul"
tc ,type certificate or test case
tca ,"throttle control assembly, orterminal control area"
tcad ,traffic collision alert device
tcas,traffic control and air navigation system
tcas ,traffic collision alert system or traffic collision avoidance system
tcb,type certification board
tcbm,type certification board meeting
tcds,type certificate data sheet
tcf ,terrain clearance floor
tci ,tool configuration index
tcn ,tacan
tcr ,test completeness review
tcu ,tacan control unit
tdop ,time dilution of precision
tdr ,transponder
terps ,terminal en-route procedures
tfr ,temporary flight restrictions
tft ,thin-film transistor
tgt ,"turbine gas temperature, or target"
thdg ,true heading
tia,type inspection authorization
tir,type inspection report
tis ,traffic information service
tk ,track angle
tke ,track-angle error
tla ,thrust lever angle
tlm,top-level mishap
tod ,top of descent point
tor ,tool operational requirements
tq ,tool qualification
tql ,tool qualification level
tqp ,tool qualification plan
tr or t/r ,transmitter receiver ortransceiver
tracon ,terminal radar approach control
trans ,"transmit,transmission, ortransition"
trk ,track
trp ,mode s transponder
trr ,test readiness review
tsha,test safety hazard analysis
tso,technical standard order
tsoa,technical standard order approval
ttl ,tuned to localizer
ttr ,tcas ii transmitter/receiver
tts ,time to station
tve ,total vertical error
twdl ,"two-way data link, or terminal weather data link"
twdr ,terminal doppler weather radar
twip ,terminal weather information for pilots
twr,aerodrome control tower
twr ,terminal weather radar
tx ,transmit
uart ,universal asynchronous receiver transmitter
uas ,unmanned aerial system
uav ,unmanned aerial vehicle
uhf ,ultra-high frequency
ulb ,underwater locator beacon
uml ,unified modified language
usaf ,united states air force
usb ,universal serial bus
usgs ,united states geological survey
usoap,universal safety oversight program
utc,universal coordinated time
utc ,universal time coordinate
v ,voltsorvoltage
v&v ,validation and verification
v/l ,vor/localizer
v/nav ,vertical navigation
v1,decision speeed
v2,takeoff safety speed
vac,approach climb speed
vfr,visual flight rules
vfs,final segment speed
vhf,very high frequency
vlof,liftoff speed
vmu,minimum unstick speed
vor,vhf ominidirectional range
vr,rotation speed
vref,landing reference speed
vs,stall speed
vsr,reference stall speed
vvd,version description document
wbs,work breakdown structure
wcs,weapon control system
wofw,weight-off-wheels
wonw,weight-on-wheels
zsa,zonal safety analysis
